Generation,Lifetime Over 900 Cycle,Total Occumation Grade,Occupation Block of 5 Grade,Created Process Grade,Alive Process Grade,Bombing Freq Grade
2472,901,0,0,275,82,0.0
2473,901,294,40,272,246,11.944444444444445
2474,901,149,38,203,157,10.444444444444445
2475,901,149,40,194,142,10.055555555555555
2476,901,297,40,276,243,11.88888888888889
2477,215,148,3,54,0,3.0555555555555554
2478,901,188,16,187,14,10.333333333333334
2479,901,209,17,258,136,11.222222222222221
2480,901,0,0,275,34,0.0
2481,901,206,36,193,76,4.777777777777778
2482,901,138,31,166,67,7.666666666666667
2483,901,0,0,245,100,0.0
2484,901,210,36,294,190,8.222222222222221
2485,901,130,28,287,140,6.444444444444445
2486,901,210,37,294,190,8.222222222222221
2487,901,210,27,294,190,8.222222222222221
2488,901,131,22,113,27,5.222222222222222
2489,901,0,0,197,57,0.0
2490,901,192,28,208,84,6.5
2491,901,203,38,216,87,6.888888888888889
2492,901,203,25,216,87,6.888888888888889
2493,901,199,29,210,96,8.222222222222221
2494,901,214,25,229,95,6.666666666666667
2495,901,184,29,255,155,5.111111111111111
2496,901,0,0,186,19,0.0
2497,901,214,35,229,95,6.666666666666667
2498,901,201,32,223,104,6.055555555555555
2499,901,214,36,229,95,6.666666666666667
2500,901,201,30,223,104,6.055555555555555
2501,901,0,0,219,125,0.0
2502,901,201,30,223,104,6.055555555555555
2503,901,201,32,223,104,6.055555555555555
2504,901,201,32,223,104,6.055555555555555
2505,901,201,32,223,104,6.055555555555555
2506,901,201,32,223,104,6.055555555555555
2507,901,201,32,223,104,6.055555555555555
2508,901,106,4,9,1,0.2777777777777778
2509,901,201,32,223,104,6.055555555555555
2510,901,201,21,223,104,6.055555555555555
2511,901,201,25,223,104,6.055555555555555
2512,901,201,32,223,104,6.055555555555555
2513,901,221,32,231,105,5.055555555555555
2514,901,201,32,223,104,6.055555555555555
2515,901,201,33,223,104,6.055555555555555
2516,901,201,31,223,104,6.055555555555555
2517,901,0,0,240,37,0.0
2518,901,0,0,333,284,0.0
2519,901,0,0,323,207,0.0
2520,901,0,0,216,74,0.0
2521,901,222,8,335,219,2.388888888888889
2522,901,0,0,0,1,0.0
2523,901,154,29,237,147,7.111111111111111
2524,901,154,26,237,147,7.111111111111111
2525,901,409,21,151,77,5.333333333333333
2526,901,409,39,151,77,5.333333333333333
2527,901,0,0,184,87,0.0
2528,901,421,36,167,113,2.6666666666666665
2529,901,383,33,176,121,3.7222222222222223
2530,901,383,10,176,121,3.7222222222222223
2531,901,518,41,142,91,6.555555555555555
2532,901,0,0,180,125,0.0
2533,901,0,0,130,78,0.0
2534,901,0,0,162,114,0.0
2535,901,551,44,154,102,6.444444444444445
2536,901,517,41,153,93,6.833333333333333
2537,901,531,44,149,87,6.944444444444445
2538,901,0,0,142,86,0.0
2539,901,531,11,149,87,6.944444444444445
2540,901,0,0,143,89,0.0
2541,901,0,0,143,109,0.0
2542,901,543,45,153,103,6.0
2543,901,537,42,150,110,5.777777777777778
2544,901,103,9,3,2,0.1111111111111111
2545,901,537,40,147,114,3.7777777777777777
2546,3,100,8,0,0,0.0
2547,901,537,41,147,114,3.7777777777777777
2548,901,537,41,147,114,3.7777777777777777
2549,901,537,43,146,103,4.333333333333333
2550,901,0,0,157,117,0.0
2551,901,130,17,158,118,2.7222222222222223
2552,901,130,15,158,118,2.7222222222222223
